id;name;parent_id
1;生活新科技;null
2;新技术;1
3;新能源;1
4;新材料;1
5;科技潮物;null
6;智能潮物;5
7;可穿戴设备;5
8;掌上科技;null
9;互联网;8
10;智能应用;8
11;大数据应用;8
12;科学出行;null
13;旅游生活;12
14;交通工具;12
15;交通安全;12
16;科学艺术;null
17;科学摄影;16
18;科普文学;16
19;科幻作品;16
20;生活艺术;16
